id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2998394	SV	Fre	0815	60	TA	7D:SV	204					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998396	SVA	Fre	0815	60	SL	SVA7:1	303					0	34-41, 43, 45-50, 3-7, 9-13, 15-17, 19, 21-23	
2998424	MA	Fre	0815	60	FO	MA 8C	301					0	34-41, 43, 45, 48-50, 3-7, 9-13, 15-17, 19, 21-23	
2998427	MA	Fre	0815	60	AG	MA 8A	205					0	34-41, 43, 45, 48-50, 3-7, 9-13, 15-17, 19, 21-23	
2998516	MA	Fre	0815	60	ABE	MA 8D	103					0	34-41, 43, 45, 48-50, 3-7, 9-13, 15-17, 19, 21-23	
2998807	Mentor Day	Fre	0815	285	YO,EF	4a	304			33		0	33	
2998809	Mentor Day	Fre	0815	285	ZC,TL	4b	305			33		0	33	
2998810	Mentor Day	Fre	0815	285	ASN,KRS	5a	209			33		0	33	
2998829	Mentor Day	Fre	0815	285	CA,LiP	5b	210			33		0	33	
2997749	RE	Fre	0820	60	ZJ	7a	101			34-40		0	34-40	
2997750	HI	Fre	0820	60	ZJ	7a	101			41, 43, 45-50		0	41, 43, 45-50	
2997751	SH	Fre	0820	60	ZJ	7a	101			3-7, 9-13		0	3-7, 9-13	
2997752	GE	Fre	0820	60	ZJ	7a	101			15-17, 19, 21-23		0	15-17, 19, 21-23	
2996927	Student Cafeteria	Fre	0830	100	MÅ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997271	Arbetstid	Fre	0830	360	EF							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2997501	Rastvakt	Fre	0830	20	JH,SN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
3023502	Mentor Day	Fre	0830	270	ARE,AH	6a				33		0	33	
3023517	Mentor Day	Fre	0830	270	NE,CÖ	6b	203			33		0	33	
3023520	Mentor Day	Fre	0830	270	AG,MG	6c				33		0	33	
3023526	Mentor Day	Fre	0830	270	DM,KS	6d				33		0	33	
2998132	SLTX	Fre	0840	70	AHa	9a:b	Textilslöjd	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2998133	SLTM	Fre	0840	70	NA	9a:a	Träslöjd	VT				0	3-7, 9-13, 15-17, 19, 21-23	
2998134	SLTX	Fre	0840	70	AHa	9a:a	Textilslöjd	HT				0	34-41, 43, 45-50	
